type,country_code,series_code,description,country_name,series_name
Country-Series,WSM,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt and short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). DSSI eligible and participating in 2020 and 2021.,Samoa,"External debt stocks, total (DOD, current US$)"
Country-Series,WSM,DT.DOD.DSTC.CD,Short-term debt data are excluded since BIS data include debt liabilities of offshore centers located in the country.,Samoa,"External debt stocks, short-term (DOD, current US$)"
Country-Series,WSM,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Samoa,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,WSM,SP.POP.TOTL,Data source: United Nations World Population Prospects,Samoa,"Population, total"
Country-Series,XKX,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Kosovo,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,XKX,SP.POP.TOTL,"Data source: Kosovo Agency of Statistics, U.S. Census Bureau",Kosovo,"Population, total"
Country-Series,XKX,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed debt, long-term private nonguaranteed debt and short-term debt data for 2024 are based on reports provided by the country. DSSI eligible and not participating in 2020 and 2021.",Kosovo,"External debt stocks, total (DOD, current US$)"
Country-Series,YEM,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data starting from 2019 and onwards are World Bank staff estimates based on the original terms of the loans. Long-term private nonguaranteed debt data are not available. Short-term debt is based on data from the BIS. DSSI eligible and participating in 2020 and 2021 but country has not reported data.,"Yemen, Rep.","External debt stocks, total (DOD, current US$)"
Country-Series,YEM,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,"Yemen, Rep.","Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,YEM,SP.POP.TOTL,Data source: United Nations World Population Prospects,"Yemen, Rep.","Population, total"
Country-Series,ZAF,SP.POP.TOTL,Data source: United Nations World Population Prospects,South Africa,"Population, total"
Country-Series,ZAF,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,South Africa,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,ZAF,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed, long-term private nonguaranteed debt and short-term debt data for 2024 are based on reports provided by the country.",South Africa,"External debt stocks, total (DOD, current US$)"
Country-Series,ZMB,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Zambia,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,ZMB,SP.POP.TOTL,Data source: United Nations World Population Prospects,Zambia,"Population, total"
Country-Series,ZMB,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data from 2017 to 2018 are estimates based on country reports and the debt stock reflects new methodology and coverage of debt since 2017. Short-term debt data for 2024 is based on data from the BIS. DSSI eligible and participating in 2020 and 2021.,Zambia,"External debt stocks, total (DOD, current US$)"
Country-Series,ZWE,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt for 2024 is based on data from the BIS.,Zimbabwe,"External debt stocks, total (DOD, current US$)"
Country-Series,ZWE,SP.POP.TOTL,Data source: United Nations World Population Prospects,Zimbabwe,"Population, total"
Country-Series,ZWE,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Zimbabwe,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
